4259.01        1.05    21.5
4363.86        0.46    14.7
4428.19       22.50  1221.0
4501.79        2.05    31.5
994668.65        0.67    16.1
4683.03        0.43    20.3
4726.83        2.74   283.8
994734.79        0.42    15.9
4762.61        1.00    50.8
4780.02      < 1.67 <  41.3
994879.96        1.58    10.8
994951.12        0.61    10.3
4963.88        0.62    53.4
994969.14       0.76    14.7
994979.61       0.64    13.5
4984.79       0.50    31.1
4987.42       1.88    30.4
995003.58       0.58    14.6
995027.47       0.62    11.6
995054.84       0.56    11.2
995061.49       0.51    16.6
5074.47       0.48    24.6
995133.14     < 0.94 <  10.6
995170.49       0.47    12.1
5176.04       0.62    35.6
995236.18       1.66 <  25.7
995245.48       0.64    10.1
995257.47       0.82    13.6
995363.70       1.24    10.8
995404.56       0.91    14.9
5418.87       0.76    49.1
5450.62      11.06 < 136.5
5487.69       5.20    73.8
5494.10       0.50    24.2
5497.08       2.61    21.1
5508.12       2.37    84.1
5512.68       0.48    20.8
995524.98       1.65    10.6
5525.48      10.56   112.8
995541.84       0.56    16.8
5545.06       0.80    29.8
995546.48       0.55    17.4
995556.44       1.28    10.5
5705.08       2.58    41.6
995711.45       0.50 <  19.5
995719.48       0.69    16.7
995762.74       0.51    11.8
5766.10       0.98    29.8
995769.09       0.54    19.4
5780.48       2.11   257.0
995785.04       0.89    10.0
995793.21       0.79    19.1
5797.06       0.77   199.0
995828.47       0.86    18.3
995842.93       2.13    13.8
5849.81       0.82    95.6
995854.54       0.42    11.2
995893.54       0.71    10.9
5910.57       0.74    21.4
995923.47       0.59    13.9
995925.94       0.81    11.3
995958.91       1.15    19.7
995988.11       0.73    14.2
6004.89       2.65    21.1
6010.75       3.27    31.5
996027.68       1.99    18.5
996037.63       1.71    14.8
996059.26       0.54    12.5
6089.85       0.54    28.0
6113.18       0.68    24.3
996116.84       0.81    13.9
996139.98       0.61    15.5
996151.14       1.01     5.6
996158.57       0.70    15.4
996165.68       1.48    12.3
996170.48       1.67    10.0
996177.63       1.25     4.1
996182.58       1.04     6.4
6195.98       0.42    37.8
6203.05       1.21    57.1
6204.49       4.87    71.6
996215.81       1.03     6.7
6234.01       0.78    25.3
6244.46       1.72    25.4
6269.85       1.17    77.0
6283.84       4.77   459.7
996287.59       0.51    13.9
6308.80       5.04    54.4
6317.86       5.18    46.6
996324.45       1.60    13.6
996329.98       0.63    13.8
996353.38       1.90    17.7
996358.14       1.29     9.8
996362.15       1.95    13.3
996367.34       0.46    11.8
6376.08       0.75    44.6
6379.32       0.58    94.9
6397.01       1.21    25.0
996414.67       1.99    14.9
996417.03       1.12     6.1
996425.66       0.76    16.5
6439.48       0.75    25.4
6445.28       0.46    35.7
6449.22       0.76    29.4
996456.01 < <   0.89    10.1
996463.68       0.98    16.7
996474.24       0.57    11.3
6494.05       8.98    69.2
6520.62       0.89    23.7
996536.53       0.71    12.7
996553.92       0.45    10.2
6590.42       7.53   102.2
6613.62       0.93   165.1
996633.12       1.30     9.7
996635.74       1.12     5.3
6660.71       0.58    33.0
996672.27       0.66    17.1
996684.86       1.59     6.3
6699.32       0.63    21.6
996702.02       0.63    13.3
996729.27       0.53    18.5
996733.16       1.24     5.8
996747.78       1.13     5.5
996751.51       2.81    16.7
996812.73       1.03     4.6
996843.63       0.89    12.3
996919.21       1.08 <  22.2
996944.60       0.81    10.8
6993.13       0.76 <  49.5
997077.86       1.04 <   6.4
997084.65       2.56 <  21.2
997092.67       1.04     8.7
997119.71       1.05 <  10.7
997159.83       1.46 <  12.1
7224.03       1.02    84.9
997357.56       1.41    12.5
7367.13       0.54    34.7
997495.02       0.60    13.6
7562.25       1.23    29.2
997832.89       0.63    13.4
998026.25       0.61    13.4
