 3750.15a        H 12
 3770.63a         H 11
 3797.90a         H 10
 3818.75a         He I 63D
 3835.38a         H 9             
 3867.48a       He I 33S
 3871.82a             He I 91D
 3889.05a        H 8     
 3919.82a             C II 4 at 0.68+8.97     
 3926.53a       He I 81D
 3933.66a         Ca II 1
 3937.80e*            [Fe II] 8 on plate a(91)     
 3966.4 a             
 3970.07a    H 7
 3972.7 a             
 3992.98e             [Cr II] 4 at 2.08 + 2.89 + 3.57
 4009.27a         He I 71D
 4026.19a        He I 53D
 4047.18e         O II 50 at 6.15 + 8.22
 4060.78e         O II 97
 4068.62e         [S II] 1        
 4076.22e       [S II] 1
 4101.74a       H 6 P Cyg  profile
 4105.5 e         
 4120.81a         He I 53S
 4128.05a             Si II 3
 4130.88a        Si II 3 
 4143.76a        He I 61D
 4168.97a        He I & 61S
 4173.45e       Fe II 27
 4178.90e        [Fe II] 23 at 8.95 + Fe II 28 at 8.86
 4190.53e        [Fe II] 37
 4200.72e        Si II at 0.66 + 0.90
 4210.6 e        
 4233.17e       Fe II 27
 4243.98e       [Fe II] 21
 4267.15a        C II 6
 4276.83e        [Fe II] 21
 4287.40e      [Fe II] 7
 4296.57e        Fe II 28
 4303.17e             Fe II 27
 4305.90e       [Fe II] 21
 4314.08e        Sc II 15
 4319.62e       [Fe II] 21
 4325.01e       Sc II 15
 4326.85e         [Ni II] 3
 4338.6 a         
 4341.79e        H 6
 4344.2 a             
 4346.85e             [Fe II] 21
 4351.76e        Fe II 27
 4358.10e         [Fe II] 6
 4372.34e         [Fe II] 21
 4375.71e             [Cu II] 1       
 4385.38e        Fe II 27        
 4387.93a         He I 51D
 4413.78e       [Fe II] 7          
 4416.54e       Fe II 27 at 6.82 + [Fe II] 6 at 6.27
 4432.45e       [Fe II] 6
 4437.55a             He I 51S
 4442.99e             Zr II 88
 4452.11e      [Fe II] 7
 4457.95e        [Fe II] 6
 4471.48a       He I 43D
 4474.91e        [Fe II] 7    
 4481.22a        Mg II 4 at 1.12.+1.32
 4485.21e        [Ni II]*        
 4488.95e       Fe II 37 at 9.18 + [Fe II] 6 at 8.75
 4491.40e             Fe II 37
 4508.28e         Fe II 38
 4515.34e         Fe II  37
 4521.42ed       Fe II 37 at 0.26 + Fe II 38 at 2.63
 4528.51e             V II 56
 4533.58e        Fe II 37 at 4.17 + [Fe II] 6 at 3.00      
 4541.52e        Fe II 38
 4549.47e        Fe II 38
 4555.89e       Fe II 37
 4558.66e             Cr II 44
 4564.59e             V II 56
 4571.10e       Mg I 1  
 4576.33e         Fe II 38
 4583.33e        Fe II 37 at 2.83 +Fe II 38 at 3.83
 4588.22e        Cr II 44
 4618.83e        Cr II 44        
 4629.34e       Fe II 37
 4634.11e             Cr II 44
 4639.68e        [Fe II] 4
 4664.71ed      [Fe II] 4 at 4.45 + [Fe II] 5 at 4.97
 4666.75e?            Fe II 37
 4713.14a      He I 43S
 4728.07e        [Fe II] 4
 4731.44e         Fe II 43
 4774.74e        [Fe II] 20
 4814.55e         [Fe II] 20
 4823.44e        [Ti II] 10
 4837.42e             [Ti II] 10
 4847.01e        [Ti I] 13               
 4861.33e        H 4 P Cyg prof
 4868.2 a        
 4874.49e         [Fe II] 20
 4888.45e        [Ti I] 13       
 4905.35e         [Fe II] 20
 4916.81a       [Ti II] 23
 4921.93a       He I 41D P Cyg prof.               
 4935.03e         N I 9
 4947.17e         [Cr II] 15
 4950.74e        [Fe II] 20
 4973.39e         [Fe II] 20
 4984.49e        Fe II J
 4990.50e       Fe II J
 5005.52e         [Fe II] 20
 5015.67a        He I 21S  P Cyg prof    
 5018.3 e         
 5039.10e        [Fe II] 19
 5043.53e       [Fe II] 20
 5054.0 e         Meinel : in nova like. unid.
 5060.30e        [Fe III] 1
 5083.72e        [Fe II] 35
 5090.2 e        Meinel : unident.
 5107.95e        [Fe II] 18
 5111.63e        [Fe II] 19
 7065.19a             He I 23P0
 7100.35e             Fe II J  at 0.16 +0.54
 7155.14e         [Fe II] 14
 7255.83e             [Ni II]*
 7307.65e             [Ni II]*
 7376.59e        Fe II J
 7388.16e             [Fe II] 14      
 7411.73e        [V II] 4 at 1.90 + [Ni II] 2 at 1.57
 7711.71e        Fe II J
 7731.68e         Fe II J
 7764.69e             [Fe II] 30
 7773.85    O I 1 at 1.96 + 4.18 + 5.40    
 7866.54     Fe II J 
 7877.13     Mg II 8
 7896.37     Mg II 8
 7917.03     [Ti II] 25   
 7976.95     [Ti II]  6
 8314.26           P 26    
 8323.42     P 25
 8333.79            P 24    
 8345.55     P 23
 8359.01    P 22
 8374.48     P 21
 8392.40    P 20
 8399.5             Fe II J at 0.22+ 8.98
 8412.0              P 19 double peak V < R
 8413.32    P 19
 8420.55             Fe II J    
 8425.5           O I 54 at 6.33 + 4.78
 8428.73            O I 54 at 8.34 + 9.13
 8437.96     P 18
 8446.49    O I 4
 8467.26    P 17
 8490.40     Fe II J at 0.10 + 0.70    
 8502.48     P 16
 8545.38    P 15   
 8567.74    N I 8            
 8579.15    [V II] 11
 8595.51       N I 8 at 4.01 + Fe II  J at 7.02
 8598.39   P 14
 8616.96     [Fe II] 13
 8629.24    N I 8   
 8636.58   Fe II J
 8649.11  [Sc II] 1
 8655.88     N I 8   
 8665.02   P 13
 8671.87            Fe II J
 8680.24            N I 1
 8682.34   N I 1   
 8683.3          N I 1
 8686.13             N I 1
 8695.10    Fe II eta Car
 8703.24     N I 1
 8711.69     N I 1
 8718.82     N I 1
 8728.88    N I 1
 8750.47     P 12     
 8776.8          He I (Vreux) 
 8784.13     Mn II  TV
 9014.9           P 10
 9019.43            N I 174
 9028.98     N I 15
 9062.01    C I 3 (1.48 + 2.53)    
 9076.43    Fe II J at 5.50 + 7.37
 9094.89     C I 3
 9122.92     Fe II eta Car   
 9132.37    Fe II J
 9175.88     Fe II J
 9187.15   Fe II J
 9197.2  Fe II J 
 9203.59             Fe II J at 3.13 + 4.05
 9217.4           Mg II 1 
 9229.02       P 9   
 9243.4             Mg II 1 
 9263.20            O I 8 (5.99 + 2.73 + 0.88)
 9267.54  [Fe II] 13
 9297.09             Fe II J
 9386.79     N I 7
 9392.80     N I 7
 9849.5      [C I] 1
 9863.31     N I 19
 9872.14     N I 19
 9879.41     Ti I 149
 9894.47    Fe Y II at 4.41 + 4.81  HP
 9910.16 Fe II eta Car    
 9956.28    Fe II J      
 9972.59   [Ti II] 5
 9976.02            Fe II J
 9997.75   Ti I 149 at 7.94 + Fe II J at 7.56
10013.88     [Fe II] 41    
10049.38     P 7
10066.95            [Ti II] 5 at 6.92 + 6.98
10083.3e             [Zr II] 13
10108.89   N I 15
10113.56            N I 15 at 4.64 + 2.48
10147.25     N I 18
10164.84     N I 18      
10173.49     Fe II J
10189.02     Fe II J
10211.69    [Cr II] 10
