a 3768.81               He I 65
a 3835.38               H 9
a 3867.48               He I 20
a 3888.65               He I 2 at 8.65 +H 8 9.05
a 3964.73               He I 5
a 3970.07               H 7
a 4101.73               H 6
a 4109.98               N I 10
a 4119.21               Fe II 21
b 4233.17     2.15      Fe II 27
b 4244.81     2.08      [Fe II] 21 at 4.81 and 3.98
b 4276.83     0.71      [Fe II] 21
b 4287.40     2.52      [Fe II] 7
b 4340.47    20.98      H 5
b 4346.85     1.01      [Fe II] 21
b 4351.76     2.36      Fe II 27
b 4356.14     9.26+f    [Fe II] 22
b 4358.24               [Fe II] 6 at 8.10+[Fe II] 21 at 8.37
b 4384.21     1.74      [Fe II] 36
b 4413.78     4.22+f    [Fe II] 7
b 4416.27               Fe II 27 at 6.82 +[Fe II] 6 at 6.27
b 4452.11     0.81      [Fe II] 7
b 4457.95     0.46      [Fe II] 6
b 4461.54     3.42      [Ni II] 10
b 4471.47     9.25      He I 14
b 4488.75     4.12+f    [Fe II] 6
b 4491.40               Fe II 37
b 4508.28     1.76      Fe II 38
b 4515.34     4.77      Fe II 37+?
b 4519.22     3.49+f    Fe II 37
b 4522.63         -     Fe II 38
b 4541.52         -     Fe II 38
b 4543.10     1.38+p    ?
b 4549.96     2.30      Fe II 38 at 9.46+[Fe II] 6 at 0.48
b 4555.89     3.02      Fe II 37
b 4576.33     1.82      Fe II 38
b 4583.83     5.08      Fe II 38
c 4555.89         -     Fe II 37
c 4571.10     0.47      ?
c 4576.33     1.80      Fe II 38
c 4583.83     4.65      Fe II 38
c 4607.00     1.22      [Fe III] 3
c 4620.51     1.28      Fe II 38
c 4625.91     1.06      Fe II 186
c 4629.33     4.40      Fe II 37
c 4635.32     1.50      Fe II 186
c 4639.68     0.99      [Fe II] 4
c 4658.10    13.03      [Fe III]3
c 4666.20     2.62      Fe II 37 at 6.75+[Fe II] 4 at 5.65
c 4701.50     5.11      [Fe III] 3
c 4713.14     1.84      He I 12
c 4728.07     1.17      [Fe II] 4
c 4731.43     2.73+f    Fe II 43
c 4733.90               [Fe III] 3
c 4754.70     1.80      [Fe III] 3
c 4769.40     1.72      [Fe III] 3
c 4777.70     0.44      [Fe III] 3
c 4799.95     2.67      [Fe III] 3
c 4814.55     1.75      [Fe II] 20
c 4825.30     1.00      Fe II J at 4.84+ Fe II J at 5.74
c 4847.40         -     ?
c 4861.33    98.20      H 4
c 4881.00     1.04      [Fe III] 2
c 4889.67     1.30      [Fe II] 4 at 9.63+[Fe II] 3 at 9.70
c 4893.78     0.53      Fe II 36
c 4897.57     0.98      [V II] 8 at 6.87+7.21+8.64
c 4905.35     1.00      [Fe II] 20
c 4919.93     5.92+f    He I 48
c 4923.92               Fe II 42
c 4930.50     1.96      [Fe III] 1
c 4936.40     0.34      [Fe III] 1
c 4950.70     0.47      [Fe II] 20
c 4958.91     3.99      [O III] 1
c 4973.39     0.45      [Fe II] 20
c 4990.98     0.71      Fe II J at 0.50+ Fe II J at 1.46
d 4889.67     1.06      [Fe II] 4 at 9.63+[Fe II] 3 at 9.70
d 4905.35     0.49      [Fe II] 20
d 4919.93     4.76+f    He I 48
d 4923.52               Fe II 42
d 4930.50     1.34      [Fe III] 1
d 4958.91     2.94      [O III] 1
d 5006.94     6.20      [O III] 1 at 6.84+[Fe II] 4 at 6.85.W also 7.0
d 5011.30     3.67      [Fe III] 1
d 5015.67     8.34+f    He I 4
d 5018.43               Fe II 42
d 5041.06     0.57      Si II 5
d 5056.02     0.60      Si II 5
d 5063.70     1.09      [Fe III] 2
d 5084.80     0.61      [Fe III] 1
d 5111.63     0.46      [Fe II] 19
d 5127.86     0.86      Fe II 167
d 5132.66     0.43      Fe II 35
d 5158.00     2.60      [Fe II] 18
d 5169.03     2.63      Fe II 42
d 5181.97     0.50      [Fe II] 18
d 5197.57     1.99      Fe II 49
d 5219.54     0.22      [Fe II] 19 at 0.06 + [Cr II] 13 at 9.02
d 5234.82     1.98      Fe II 49
d 5255.44     0.49      Fe II 49 at 4.92+ [Cr II] 13 at 5.97
d 5261.61     1.36      [Fe II] 19
d 5270.30     8.48      [Fe III] 1 at 0.40+ [Cr II] 13 at 0.19
d 5275.99     2.34      Fe II 49
d 5283.21     1.13      [Fe II] 35
d 5290.20     0.67      ?
d 5295.70     0.54      [Fe II] 17
d 5316.61     4.57      Fe II 49 +?
d 5325.56     0.73      Fe II 49
d 5333.65               [Fe II] 19
e 5534.86         -     Fe II 55
e 5551.31     0.29      [Fe II] 39
e 5567.84     0.27      Fe II J
e 5577.35     4.44      [O I] 3
e 5581.22     0.23      [Fe II] 39 at 0.82+Fe II J at 1.63
e 5587.08     0.54      Fe II J
e 5627.49     0.32      Fe II J
e 5657.92     0.42      Fe II 57
e 5666.64     0.40      N II 3
e 5672.92         -     Fe II J
e 5676.02     0.83+f+p  N II 3
e 5679.56         -     N II 3
e 5685.00     0.21      ?
e 5746.96     0.54      [Fe II ] 34
e 5754.80    23.22      [N II] 3
e 5835.50     0.40      Fe II 182
e 5863.40     0.41      ?
e 5868.40     2.06      Si II 8
e 5875.63    31.20      He I 11
e 5888.20         -     ?
e 5889.95     3.00+p+f  Na I 1
e 5895.92         -     Na I 1
e 5913.80     0.30      ?
e 5931.79     0.16      N II 2
e 5941.67     0.57      N II 2
e 5952.55     0.77+f    Fe II 182
e 5957.81               Si II 4
e 5963.40     0.31      ?
e 5978.97               Si II 4
f 6047.46     0.27      [Ti II] 9
f 6084.11     0.35      Fe II 46
f 6096.30     0.07      [Fe III]10
f 6103.40     0.09      ?
f 6114.09     0.13      Fe II 46 at 3.33+ [V II] 14 at 4.65
f 6124.57     0.43+f    [Ti II] 22
f 6129.80               ?
f 6148.51     1.15      Fe II 74 at 7.74 and 9.24
f 6157.48     0.24      O I 10 (5.99+6.78+8.19)
f 6172.91     0.23      [Ti II] 28
f 6233.64     0.2       Fe II J at 3.53 and 3.76
f 6238.37     0.98      Fe II 74
f 6247.56     1.61      Fe II 74
f 6300.203    3.00      [O I] 1
f 6310.20     4.19      [S III] 3
f 6317.98     1.47      Fe II J
f 6347.09     0.93      Si II 2
f 6363.88     1.16      [O I] 1
f 6369.45         -     Fe II J
f 6371.36     0.89      Si II 2
f 6383.72     1.92      Fe II J
f 6389.28     1.15      Fe II J
f 6401.80     0.36+f    ?
f 6407.25               Fe II 74
f 6416.91     0.79      Fe II 74
f 6428.60         -     ?
f 6432.65     1.24+p    Fe II 40
f 6442.95     0.45      Fe II J
f 6456.38     1.90      Fe II 74
g 6347.09     1.22   S  i II 2
g 6363.88     1.25      [O I] 1
g 6370.40     1.17      Si II 2 at 1.36+ Fe II 40 at 9.45
g 6383.72     2.60      Fe II J
g 6389.28     1.17      Fe II J
g 6416.90     0.93      Fe II 74
g 6432.65     1.68      Fe II 40
g 6442.95     0.72      Fe II 8
g 6456.37     2.47      Fe II 74
g 6482.07     0.87      N II 8
g 6493.03     1.44      Fe II J
g 6504.80     1.22      Fe II Meinel
g 6516.07     3.72      Fe II J
g 6548.10    38.54      [N II] 1
g 6562.40   470.76      H 3
g 6583.60    52.12      [N II] 1
g 6665.90     0.65      ?
g 6678.15    13.36      He I
h 7065.19    25.11      He I 10
h 7078.25     0.67      [Ni II] 8
h 7087.20     0.75      ?
h 7110.42     0.36      Fe II J at 9.01+ Fe II J at 1.82
h 7135.80     8.67      [A III] 1
h 7155.14     3.85      [Fe II] 14 at 5.14+ Fe II J at 5.14
h 7171.98     1.13      [Fe II] 14
h 7235.20 &   0.60      ?
h 7240.80 &   0.18      ?
h 7254.33     0.94      O I 20
h 7265.31     0.13      Fe II 197 at 4.99 +Fe II J at 5.62
h 7281.35     4.16      He I 45
h 7291.46     1.73      [Ca II] 1
h 7307.97     1.12      Fe II 73
h 7319.60    10.66+f    [O II] 2 (8.6+ 9.4)+ Fe II 73 at 0.70
h 7323.82         -     [Ca II] 1
h 7330.30     7.20      [O II] 2 at 9.9 + 0.7
h 7376.59     1.61      Fe II J
h 7388.16     1.06      [Fe II] 14
h 7411.90     0.95      [V II] 4
i 7660.88 &       -     Fe II J
i 7711.71     4.88      Fe II 73
i 7731.68     0.22      Fe II J
i 7751.00     3.25+f    [A III] 1
i 7755.55         -     Fe II J
i 7764.69     0.21      [Fe II] 30
i 7771.96     1.53+f    O I 1
i 7774.82               O I 1 at 4.18+5.40
i 7779.60     0.16      ?
i 7789.80     0.17      Fe II J at 9.26+0.34
i 7801.21     0.13      Fe II J
i 7816.16     0.92      He I 69
i 7820.90     0.20      Fe II J
i 7835.88     0.24      Fe II J
i 7841.37     0.18      Fe II J
i 7853.51     0.10      [Cr II] 11
i 7866.54     3.57      Fe II J
i 7877.13     0.96      Mg II 8
i 7889.13     2.74      Fe II J
i 7896.37     1.51      Mg II 8
i 7917.01     1.54      [Fe II] 29 at 6.98+ [Ti II] 25 at 7.03
i 7965.20     0.07      ?
i 7970.43     0.29      Fe II J
i 7976.27     1.64      [Ti II] 6 at 5.58+6.95
i 7982.19     0.20      O I 19 at 1.97+2.41
i 7995.12     0.25      O I 19
i 7999.79     0.94      [Fe II] 1 at 9.47+[Cr II] 1 at 0.12
j 7999.79     1.05      [Fe II] 1 at 9.47+[Cr II] 1 at 0.12
j 8030.03     0.31      Fe II J at 9.58+0.48
j 8082.42     0.65      Fe II J
j 8106.38     1.90+f    [Ti II] 39
j 8109.78               Fe II J
j 8125.50     0.58      [Cr II] 1
j 8137.16     0.37      Fe II J
j 8157.54     0.25      Fe II J
j 8184.03     0.21      N I 2at4.80+ Na I 4at 3.26
j 8187.95     0.21      N I 2
j 8190.62     0.14      Fe II J
j 8216.28     1.08      N I 2
j 8223.07     0.56      N I 2
j 8228.97     1.50      Fe II J
j 8232.99     1.40+f    O I 34
j 8235.69               [V II] 18
j 8250.34     0.47      Fe II J
j 8253.90     0.21      ?
j 8257.90     0.22      P 37
j 8261.00     0.17      P 36
j 8264.30     0.42      P 35
j 8267.94     0.24      P 34
j 8271.93     0.27      P 33
j 8276.31     0.57      P 32
j 8281.13     0.75      P 31
j 8287.30     3.10      P 30 at 6.43+ Fe II J at 7.57+7.87
j 8292.31     1.57      P 29
j 8310.15     2.95      P 28 at 8.84+ Fe II J at 1.51
j 8306.99     3.67      P 27 at 6.12+ Fe II J at 7.86
j 8314.26     2.05      P 26
j 8323.43     2.58      P 25
j 8333.79     3.25      P 24
j 8345.55     3.70      P 23
j 8358.12     6.85      P 22 at 9.01+Fe 11 J at 7.23
j 8374.48     3.79      P 21
j 8392.40     4.28      P 20
j 8413.32     6.06      P 19
k 8374.48               P 21
k 8378.80     0.61      ?
k 8386.80     0.48      ?
k 8392.40     3.77      P 20
k 8399.60     0.27      ?
k 8413.32     4.87      P 19
k 8420.55     1.67+f    Fe II J
k 8423.90               Fe II J
k 8437.96     6.62      P 18
k 8446.49    48.45+f    O I 4
k 8451.01         -     Fe II J
k 8468.23     7.54      P 17 at 7.26+Fe 11 J at 9.20
k 8480.40     0.34      ?
k 8490.42     5.02      Fe II J at 0.11+[Ti II] 15 at 0.71
k 8498.02    16.84+f    Ca II 2
k 8502.49               P 16
k 8508.66     0.72      Fe II J
k 8516.40     0.29      ?
k 8523.55     0.17      Fe II J
k 8542.09    20.70+f    Ca II 2
k 8545.38               P 15
k 8567.74     0.25      N I 8
k 8585.84     0.72      He I
k 8594.01         -     N I 8
k 8598.39    11.37+p    P 14
k 8609.47     0.09      Fe II J
k 8616.96     1.92      [Fe II] 13
k 8629.24     1.52      N I 8
k 8636.40     0.52      ?
k 8648.72     1.14      [Ti II] 16
k 8654.54     2.12      N I 8 at 5.88+[Cr II] 19 at 3.20
k 8662.14    28.42+f    Ca II 2
k 8665.02               P 13
k 8672.22     3.06      Fe II J
k 8680.24     3.03+f    N I 1
k 8683.38               N I 1
k 8686.15     1.13      N I 1
k 8703.74     0.92      N I 1 at 3.24+ [Ni II] 12 at 4.24
k 8711.69     0.75      N I 1
k 8722.50     1.24      Fe II J at 2.46+ [Ti II] 16 at 2.54
k 8728.88     1.15      N I 1
k 8733.20     0.78      ?
k 8740.40     0.34      ?
k 8750.47    14.86      P 12
k 8768.40     0.59      ?
k 8776.80     0.86      He I
k 8784.40     0.47      ?
