4197.11       N III                    (6)  0.91  0.17      
4323.40       C II             (28)  0.90  0.01      
4467.30       N II                (21)  0.91  0.10      
4632.05       N II                         (5)   0.94  0.01      
4643.62       N III                (2)  0.91  0.02      
4644.27       N II                 (5)   0.92  0.02      
4679.70       N II                     (62)  0.95  0.01      
4717.43       S II                   (9)   0.93  0.09   76 
4789.63       N II                (20)  0.95  0.04      
4816.69       S II               (9)   0.90  0.13   73 
4886.98       S II              (15)  0.93  0.06   85:
4896.39       N II             (1)   0.95  0.23   78:
4988.65       N II                   (24)  0.97  0.01   77:
5003.99       N II                    (4)   0.92  0.11   77:
5008.50       N II                      (24)  0.88  0.38+f    
5010.69       S II                    (7)   0.88         69 
5028.51       S II                     (1)   0.97  0.03   79 
5033.77       S II                   (7)   0.91  0.14   81 
5046.50       N II                    (4)   0.94  0.07   83:
5074.98       N II                 (10)  0.98 <0.01   82:
5104.80       S II                        (7)   0.96  0.08      
5202.60       S II                 (39)  0.93  0.11   84:
5322.11       S II                       (38)  0.92  0.11   80:
5388.35       P II                     (6)   0.98  0.01   82:
5430.23       S II                   (6)   0.86  0.06      
5455.57       S II                      (6)   0.88  0.15   81:
5475.17       S II                  (6)   0.91  0.07   83:
5511.17       S II                 (6)       :     :  82:
5557.47       S II                 (6)   0.98  0.01   79:
5566.56       S II               (6)   0.95  0.01   80:
5580.35       S II                     (11)  0.98  0.01   81:
5607.88       S II                       (11)  0.89  0.05   78:
5618.40       S II                     (11)  0.98  0.06   76:
5641.77       S II                      (11)  0.88  0.11   77:
5647.18       S II                      (6)   0.98  0.09+f 83:
5648.50       S II                           (14)  0.93         81 
5661.65       S II                   (11)  0.95: 0.06   90:
5666.26       S II                      (11)  0.95: 0.05   81:
5668.08       N II                         (3)   0.95  0.04   77:
5677.63       N II                     (3)   0.89  0.13   85:
5681.23       N II                           (3)   0.89  0.13      
5688.31       N II                                    (3)   0.91  0.10   76 
5698.17       AlIII                        (2)  0.93  0.09   83:
5712.34       N II                   (3)   0.96  0.01   83 
5724.39       AlIII                       (2)  0.96  0.03   87:
5741.32       SiIII                       (4)  0.95: 0.08   83:
5748.72       N II                     (9)   0.98: 0.03   74:
5769.08       N II                    (9)   0.93  0.02      
5820.79       S II                        (14)  0.97  0.01   81:
5854.14       Ne I                    (6)   0.96  0.05   85:
5857.63       C II                         (22)  0.93  0.05   79:
6076.00       Ne I                      (3)   0.96  0.05   82 
6097.88       Ne I                                    0.96  0.06   85:
6144.91       Ne I                         (1)   0.91  0.10   83 
6165.36       Ne I                        (5)   0.93  0.08   81:
6306.92       S II                                           (19)  0.96  0.01      
6336.09       Ne I                         (1)   0.92  0.11   73 
6399.11       S II                           (19)  0.96  0.07   85:
6404.01       Ne I                       (1)   0.86  0.20   83 
6480.21       N III                      (14) 0.90  0.03      
6483.87       N II                             (8)   0.94      :  84:
6508.48       Ne I                         (3)   0.85  0.10   90:
6523.86       N II                            (45)  0.91  0.03      
