# Identification List of Lines in Stellar Spectra (2951 A - 1.32 um)
 3371.4     [FeIII]  F  5        
 3371.447   TiI         24                80.      
 3371.85    O II        52                 2.      
 3371.87    NeII        22                 4.     
 3371.90    S II                           1.     
 3371.993   NiI         7                 15.      
 3372.070   FeI         83                 3.     
 3372.13    CrII        91                15.     
 3372.151   ScII        4                 20.     
 3372.208   TiII  ?  ?  16                10.     
 3372.359   FeI         447                1.      
 3372.666   V II        106                3.     
 3372.68    CaIII       1                  8.     
 3372.70    P II        34                 4.     
 3372.800   TiII        1                100.     
 3373.02    PdI         3                300.     
 3373.226   CoI         122                7.     
 3373.42    ZrII        74                 8.     
 3373.455   CeII        244              100.     
 3373.51    FeIII       18                 2.     
 3373.57    ScII  ?  ?  38                 1.     
 3373.729   CeII        212              125.     
 3373.87    ArII        108                2.      
 3373.874   FeI         303                1.      
 3373.96    CrI         181                2.     
 3373.969   CoI         44                 4.     
 3373.98    NiII        1                  4.     
 3374.06    N III       5                  6.     
 3374.10    NeII        12                 3.     
 3374.221   FeI         89                 1.      
 3374.221   NiI         17                15.      
 3374.352   TiII        54                 8.     
 3374.512   TmII        12               100.     
 3374.584   GdII        72                50.     
 3374.6     [FeV  ]  F  4        
 3374.642   NiI         106               15.     
 3374.688   GdII        24               300.     
 3374.71    ZrII        61                15.     
 3374.77    O II        96                00.     
 3374.93    CrI         181                4.     
 3374.95    CrII        4                  3.     
 3374.99    CrII        149                8.     
 3375.238   CoI         153                1.      
 3375.50    O IV        8                  3.      
 3375.561   NiI         108                2.      
 3375.77    O II        52                 0.     
 3376.057   V I         54                 8.     
 3376.17    W II        10               400.     
 3376.18    CrI                            3.      
 3376.20    [FeII ]  F  26        
 3376.24    FeII  P  P  78        
 3376.25    ZrII        60                 7.     
 3376.27    CrII        78                10.     
 3376.33    LaII        46                50.     
 3376.331   NiI         104                4.     
 3376.397   CrI         254               10.     
 3376.46    ArII        109                7.     
 3376.68    HfII        31                 4.     
 3376.72    CrII        112,149            5.     
 3376.82    O III       27                 1.      
 3377.060   CoI         42                 5.     
 3377.127   CeII        213              300.     
 3377.20    O II        9                  7.     
 3377.23    NeII        42                 2.     
 3377.36    CrII        149                5.     
 3377.394   V I         54                10.     
 3377.45    ZrII        11                 6.     
 3377.485   TiI         25                20.     
 3377.52    P II        12                 4.      
 3377.577   TiI         23                30.      
 3377.625   V I         54                15.     
 3377.77    FeIII       97                         
 3378.09    O IV        4                  0.     
 3378.209   ScII        38                 2.     
 3378.28    NeII        7                  5.     
 3378.30    ZrII        73                 5.     
 3378.337   CrII        21                25.     
 3378.4     [TiIII]  F  4        
 3378.55    [NiII ]  F  5        
 3378.676   FeI         301                6.     
 3378.73    FeI   P  P  137                        
 3378.736   CoI         121                5.     
 3379.017   FeI         85                 6.     
 3379.171   CrI         5                 15.     
 3379.172   CeII        98               100.     
 3379.18    ScII        43                 2.     
 3379.216   TiI         24                15.     
 3379.371   CrII        21                30.     
 3379.39    NeII        12                 1.     
 3379.397   ScII        38                 3.     
 3379.48    ArII        59                 2.      
 3379.564   CrI         54                 3.      
 3379.58    ArII                           5.     
 3379.7     [NiVII]  F  1        
 3379.756   GdII        91               400.     
 3379.762   MoII        6                  3.     
 3379.825   CrI         54                 3.      
 3379.825   CrII        21                60.     
 3379.930   TiII        64                 1.      
 3380.004   FeI         709                1.      
 3380.111   FeI         304                8.     
 3380.114   Y II        41                 5.      
 3380.215   MoII        6                  3.     
 3380.25    EuII        23               100.     
 3380.278   TiII        1                 30.     
 3380.515   GdII        74               300.     
 3380.574   NiI         37                80.      
 3380.711   SrII        4                 50.    10.98  
 3380.885   NiI         7                 15.      
 3380.91    LaII        45               300.     
 3380.95    [FeII ]  F  27        
 3381.003   FeII        177                4.     
 3381.28    O IV        3                  4.      
 3381.33    O IV  P  P  3        
 3381.340   FeI         376,677            2.      
 3381.36    FeII  P  P  5        
 3381.498   CoI         88                 4.     
 3382.07    CrI         181                3.     
 3382.071   CoI         123                2.     
 3382.19    FeIII       72                 6.     
 3382.312   TiI         86                15.     
 3382.399   SmII        20               600.     
 3382.403   FeI         84                 3.     
 3382.529   V II        107               30.     
 3382.683   CrII        3                 60.     
 3382.69    O III       27                 3.     
